"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","Создание пользователя, который уже зарегистрирован","tests","Tue Jun 10 14:00:26 MSK 2025","passed","Tue Jun 10 14:00:27 MSK 2025","TestCreateUser","Создание пользователя","",""
"","448","Создание заказа без авторизации и валидными ингредиентами","tests","Tue Jun 10 14:00:23 MSK 2025","passed","Tue Jun 10 14:00:23 MSK 2025","TestCreateOrder","Создание заказа","",""
"","517","Получение заказов авторизованным пользователем","tests","Tue Jun 10 14:00:28 MSK 2025","passed","Tue Jun 10 14:00:29 MSK 2025","TestGetUserOrders","Получение заказов конкретного пользователя","",""
"","249","Изменение данных авторизованного пользователя по одному из полей (email, password, name)","tests","Mon May 26 14:59:38 MSK 2025","passed","Mon May 26 14:59:38 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","177","Создание пользователя с одним незаполненным обязательным полем","tests","Tue Jun 10 14:00:27 MSK 2025","passed","Tue Jun 10 14:00:27 MSK 2025","TestCreateUser","Создание пользователя","",""
"","172","Создание заказа c неверным хешем ингредиентов","tests","Tue Jun 10 14:00:25 MSK 2025","passed","Tue Jun 10 14:00:25 MSK 2025","TestCreateOrder","Создание заказа","",""
"","179","test_update_user_field_without_auth[email]","tests","Tue Jun 10 14:00:35 MSK 2025","passed","Tue Jun 10 14:00:35 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","180","Получение заказов неавторизованным пользователем","tests","Tue Jun 10 14:00:29 MSK 2025","passed","Tue Jun 10 14:00:30 MSK 2025","TestGetUserOrders","Получение заказов конкретного пользователя","",""
"","172","test_update_user_field_without_auth[password]","tests","Tue Jun 10 14:00:35 MSK 2025","passed","Tue Jun 10 14:00:35 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","3017","Создание заказа с авторизацией и валидными ингредиентами","tests","Tue Jun 10 14:00:19 MSK 2025","passed","Tue Jun 10 14:00:22 MSK 2025","TestCreateOrder","Создание заказа","",""
"","180","Изменение данных авторизованного пользователя по одному из полей (email, password, name)","tests","Mon May 26 14:59:39 MSK 2025","passed","Mon May 26 14:59:39 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","172","Изменения данных пользователя без авторизации","tests","Mon May 26 14:59:40 MSK 2025","passed","Mon May 26 14:59:40 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","180","Изменение данных авторизованного пользователя по одному из полей (email, password, name)","tests","Tue Jun 10 14:00:34 MSK 2025","passed","Tue Jun 10 14:00:34 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","268","Изменение данных авторизованного пользователя по одному из полей (email, password, name)","tests","Tue Jun 10 14:00:32 MSK 2025","passed","Tue Jun 10 14:00:33 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","176","test_update_user_field_without_auth[name]","tests","Tue Jun 10 14:00:35 MSK 2025","passed","Tue Jun 10 14:00:36 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","171","Создание пользователя с одним незаполненным обязательным полем","tests","Tue Jun 10 14:00:27 MSK 2025","passed","Tue Jun 10 14:00:28 MSK 2025","TestCreateUser","Создание пользователя","",""
"","263","Логин под существующим пользователем","tests","Tue Jun 10 14:00:30 MSK 2025","passed","Tue Jun 10 14:00:30 MSK 2025","TestLoginUser","Логин пользователя","",""
"","173","Создание заказа без авторизации и без ингредиентов","tests","Tue Jun 10 14:00:24 MSK 2025","passed","Tue Jun 10 14:00:25 MSK 2025","TestCreateOrder","Создание заказа","",""
"","177","Создание пользователя с одним незаполненным обязательным полем","tests","Tue Jun 10 14:00:28 MSK 2025","passed","Tue Jun 10 14:00:28 MSK 2025","TestCreateUser","Создание пользователя","",""
"","177","Изменения данных пользователя без авторизации","tests","Mon May 26 14:59:40 MSK 2025","passed","Mon May 26 14:59:40 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","183","Изменение данных авторизованного пользователя по одному из полей (email, password, name)","tests","Tue Jun 10 14:00:31 MSK 2025","passed","Tue Jun 10 14:00:31 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","184","Изменение данных авторизованного пользователя по одному из полей (email, password, name)","tests","Mon May 26 14:59:36 MSK 2025","passed","Mon May 26 14:59:37 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
"","178","Создание заказа с авторизацией и без ингредиентов","tests","Tue Jun 10 14:00:24 MSK 2025","passed","Tue Jun 10 14:00:24 MSK 2025","TestCreateOrder","Создание заказа","",""
"","279","Создание уникального пользователя","tests","Tue Jun 10 14:00:26 MSK 2025","passed","Tue Jun 10 14:00:26 MSK 2025","TestCreateUser","Создание пользователя","",""
"","170","Логин с неверным логином и паролем","tests","Tue Jun 10 14:00:31 MSK 2025","passed","Tue Jun 10 14:00:31 MSK 2025","TestLoginUser","Логин пользователя","",""
"","175","Изменения данных пользователя без авторизации","tests","Mon May 26 14:59:40 MSK 2025","passed","Mon May 26 14:59:40 MSK 2025","TestUpdateUserInfo","Изменение данных пользователя","",""
